ASIN,title,price,rating,review_count,url,prod_type
B00ILGX33Q,"Monitor/Laptop Riser,Black",None,Non,None,https://www.amazon.com/Fellowes-8036601-Monitor-Laptop-Riser/dp/B00ILGX33Q/ref=sr_1_5818?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5818,monitor
B08P6MSZ7Y,"CHUICHUIHU Acrylic Monitor Stand Riser, Clear Computer Monitor Riser for Desktop, Desk, Upgrade Acrylic Laptop Stand, Multi-Media iMac PC Stand for Home Office (15 x 9.3 x 3.3 in)",18.99,5.0,7,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg243_1?ie=UTF8&adId=A06068103UHPB4ZQUU63Q&url=%2FCHUICHUIHU-Acrylic-Monitor-Computer-Multi-Media%2Fdp%2FB08P6MSZ7Y%2Fref%3Dsr_1_5819_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617471741%26s%3Dpc%26sr%3D1-5819-spons%26psc%3D1&qualifier=1617471741&id=8554785821742511&widgetName=sp_mtf,monitor
B009G276UK,"Hoodman HRT5 Monitor Hood for 5"" Red Touch Screen",None,5.0,2,https://www.amazon.com/Hoodman-HRT5-Monitor-Touch-Screen/dp/B009G276UK/ref=sr_1_5820?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5820,monitor
B075WSRLC6,GAOMON PD1560 15.6 Inches 8192 Levels Pen Display with Arm Stand 1920 x 1080 HD IPS Screen Drawing Tablet with 10 Shortcut Keys,299.99,4.5,2052,https://www.amazon.com/GAOMON-Display-Drawing-Shortcut-Windows/dp/B075WSRLC6/ref=sr_1_5821?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5821,monitor
B08BF73QRB,"HDMI KVM Switch 2 Port Dual Monitor Extended Display, USB KVM Switch HDMI 2 in 2 Out with USB 2.0 Hub,PC Monitor Keyboard Mouse Switcher Support 4K@30Hz",119.00,Non,None,https://www.amazon.com/Monitor-Extended-Display-Keyboard-Switcher/dp/B08BF73QRB/ref=sr_1_5822?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5822,monitor
B0897ZBHKX,StarTech.com 1ft (30cm) Computer Power Cord 10 Pack - C14 to NEMA 5-15R Adapter - Multipack 3-Prong PC Monitor Cable (PAC10010PK),None,5.0,1,https://www.amazon.com/StarTech-com-30cm-Computer-Power-Cord/dp/B0897ZBHKX/ref=sr_1_5823?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5823,monitor
B08MPDX2G5,Comix Monitor Stand Riser with 2-Layer Organizer Drawer – Metal Screen Displayer Stand with Double Drawers for Home and Office Desktop Management (Dark Brown B2525),39.99,Non,None,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg243_1?ie=UTF8&adId=A03855783QT0S0Q39N1TU&url=%2FComix-Monitor-2-Layer-Organizer-Drawer%2Fdp%2FB08MPDX2G5%2Fref%3Dsr_1_5824_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617471741%26s%3Dpc%26sr%3D1-5824-spons%26psc%3D1&qualifier=1617471741&id=8554785821742511&widgetName=sp_mtf,monitor
B074LXZL2B,"NEC Display MultiSync E203W-BK 20"" LED LCD Monitor - 4 ms",193.88,Non,None,https://www.amazon.com/NEC-Display-MultiSync-E203W-BK-Monitor/dp/B074LXZL2B/ref=sr_1_5825?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5825,monitor
B084G3QWLM,"Synvy Privacy Screen Protector, Compatible with HP ENVY 34 Curved W3T65AA#ABA 34"" Display Monitor Anti Spy Film Protectors [Not Tempered Glass]",129.99,Non,None,https://www.amazon.com/Synvy-Protector-Compatible-Protectors-Tempered/dp/B084G3QWLM/ref=sr_1_5826?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5826,monitor
B00N1YPXW2,"Blue Yeti USB Mic for Recording & Streaming on PC and Mac, 3 Condenser Capsules, 4 Pickup Patterns, Headphone Output and Volume Control, Mic Gain Control, Adjustable Stand, Plug & Play – Blackout",None,4.7,17498,https://www.amazon.com/Blue-Yeti-USB-Microphone-Blackout/dp/B00N1YPXW2/ref=sr_1_5827?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5827,monitor
B01M0Q4197,"Rocelco - Ergonomic Adjustable Height Sit Stand Desk Mount, up to 27 Inch Monitor, Keyboard Tray, (EFD)",210.99,3.1,10,https://www.amazon.com/Rocelco-Ergonomic-Adjustable-Monitor-Keyboard/dp/B01M0Q4197/ref=sr_1_5828?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5828,monitor
B08SLXCTX3,"IMLIB Laptop Monitor Mount Stand - Height Adjustable Desk Mount with Clamp and Grommet Mounting Base for 13 to 27 Inch LCD Computer Screens and up to 17 inch Laptops, Holds up to 17.6 lbs Per Arm",52.95,5.0,3,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg243_1?ie=UTF8&adId=A026460030N201QPPVVBS&url=%2FIMLIB-Laptop-Monitor-Mount-Stand%2Fdp%2FB08SLXCTX3%2Fref%3Dsr_1_5829_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617471741%26s%3Dpc%26sr%3D1-5829-spons%26psc%3D1&qualifier=1617471741&id=8554785821742511&widgetName=sp_btf,monitor
B07SRZDMHH,"VGA to HDMI Adapter, 1080P VGA to HDMI Cable Converter (Male to Female) for Computer, Desktop, Laptop, PC, Monitor, Projector, HDTV with Audio Cable and USB Cable",11.99,4.6,17,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg243_1?ie=UTF8&adId=A0297815XP8SCNO4E43J&url=%2FAdapter-Converter-Computer-Desktop-Projector%2Fdp%2FB07SRZDMHH%2Fref%3Dsr_1_5830_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617471741%26s%3Dpc%26sr%3D1-5830-spons%26psc%3D1&qualifier=1617471741&id=8554785821742511&widgetName=sp_btf,monitor
B07TV2SS3G,"TORRAS Tablet Stand, [2021 Enhanced] All Metal iPad Stand Holder Universal Desktop Tablet Dock Cradle, Compatible with All Tablets iPad Pro 12.9 Air Mini Samsung Galaxy Tab Fire HD Kindle Nintendo",25.99,4.7,318,https://www.amazon.com/TORRAS-Anti-Shake-Adjustable-Compatible-Universal/dp/B07TV2SS3G/ref=sr_1_5831?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5831,monitor
B07KG8G983,"VGA to HDMI Adapter, avedio links VGA to HDMI Video Converter Adapter Male to Female for TV, Computer, Projector with Audio and Power Cable,Portable Size-Plug and Play",10.98,4.0,404,https://www.amazon.com/ZAMO-Converter-Computer-Projector-Size-Plug/dp/B07KG8G983/ref=sr_1_5832?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5832,monitor
B000SHQD3S,"Compucessory Lorell Adjustable Monitor Riser, Black (25303)",16.99,4.5,81,https://www.amazon.com/Compucessory-CCS25303-Monitor-Riser/dp/B000SHQD3S/ref=sr_1_5833?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5833,monitor
B014QM3ILK,TNP 4 Port USB 2.0 KVM Switch Manual Selector Rack Mount Box Adapter with 4 VGA USB KVM Cables for Computer PC Laptop Notebook Monitor Keyboard Mouse Black,20.99,3.7,38,https://www.amazon.com/TNP-Selector-Computer-Notebook-Keyboard/dp/B014QM3ILK/ref=sr_1_5834?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5834,monitor
B07K3FN5MR,"Elgato Cam Link 4K — Broadcast Live, Record via DSLR, Camcorder, or Action Cam, 1080p60 or 4K at 30 FPS, Compact HDMI Capture Device, USB 3.0",None,4.6,5895,https://www.amazon.com/Elgato-Cam-Link-Broadcast-Camcorder/dp/B07K3FN5MR/ref=sr_1_5835?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5835,monitor
